genotype,plant_id,spp,nTreatment,temp,phoper,aamb,amax,Carbon,ce,co2comp,co2sat,dr,D13C,lcp,LMA,lsp,jmax,Nitrogen,netqe,pnue,SLA,vcmax
cs4,cs4m,cs,med,25,14,11.9,22.5,51.1132159,0.075869005,46.16353749,342.7273333,-0.712,-29.70571464,12.3524069,0.009512821,257.9968624,106.8045631,2.793276491,0.048444,56.34135313,105.1212938,55.1117401
cs2,cs2m,cs,med,25,14,13.1,21.3,52.08144569,0.061766675,44.04842389,388.89457,-1.16,-28.46884428,19.07635094,0.007517794,267.6343352,92.27946802,2.38806438,0.052704,72.96840733,133.0177515,47.59683782
cs22,cs22l,cs,low,25,14,6.605914958,13.07953603,51.52217989,0.019920235,72.93674498,729.5322054,-0.547010056,-28.85066012,14.20431228,0.005536695,208.3732943,71.8656414,1.710413412,0.034021474,60.54219391,180.613165,60.345487
cs3,cs3l,cs,low,25,14,6.67148745,18.3315011,49.1874218,0.079836429,45.27715306,274.8903913,-0.724078554,-28.65982684,13.65097829,0.00843647,179.4581138,78.206661,2.96536797,0.040236432,48.70448045,118.5329861,44.2143036
cs1,cs1l,cs,low,25,14,7.96,12.5,51.39598187,0.022775478,52.80343033,601.6393331,-1.13,-28.72845892,19.54175849,0.008468596,170.7690554,53.1749631,2.103452051,0.052636,44.68575041,118.0833333,25.7855594
cs4,cs4l,cs,low,25,14,9.73,14.7,50.01975842,0.042380856,41.91594337,388.770668,-0.804,-27.52921436,8.839779006,0.011785526,213.4119344,60.5869176,2.097230658,0.012308,134.7760244,84.84984312,27.1307957
cs2,cs2l,cs,low,25,14,12.4,18.2,48.01504395,0.065864827,44.79703899,321.1205465,-1.14,-27.88189336,15.05918457,0.004386952,209.2096198,80.3372337,5.064995355,0.063868,69.56953924,227.9487179,39.8232151
cs3,cs3l,cs,low,25,14,13.5,19.6,47.79098436,0.065507372,46.519736,345.7226998,-1.1,-29.57717209,21.70024671,0.006831032,299.2495888,87.02243162,2.427194794,0.04864,81.42219443,146.3907603,47.13627003
cs11,cs11h,cs,high,25,10,7.045591391,12.44892773,37.07563775,0.04550218,48.77571392,322.3654133,-0.239032062,-29.51013747,12.72976691,0.005679226,164.61766,93.0456546,2.179879817,0.046386787,56.91094178,176.0803408,38.230272
cs1,cs1h,cs,high,25,10,7.209630689,20.1248167,48.06725289,0.030356425,58.19337786,721.1442028,-1.281686592,-30.56817138,27.29191787,0.011297989,212.7143332,45.7519284,3.212149056,0.038882196,19.86626297,88.51132686,26.4225678
cs22,cs22h,cs,high,25,10,8.2007037,13.55789069,46.53803255,0.051336443,48.50515147,312.6039074,0.059995868,-29.2497545,0.029177776,0.009259574,187.9208353,92.7381822,2.001104407,0.043645917,44.25785315,107.9963235,41.9241478
cs4,cs4h,cs,high,25,10,8.369451778,19.72979423,46.3153538,0.042795367,49.81930139,510.8457059,-1.134709283,-29.64846792,23.57799941,0.007748148,224.2409537,89.9683233,2.427325841,0.041709003,44.50112765,129.0630975,38.7772274
cs3,cs3h,cs,high,25,10,8.488941004,18.3444075,45.75742246,0.048913306,49.56528257,424.604492,-0.860115521,-30.62055813,20.57635375,0.01595102,246.619203,82.0047064,2.882199932,0.037554566,18.46464409,62.69191402,31.1078625
